image_id,year,month,day,note
000001,2027,06,26,
000002,2025,12,11,
000003,2026,05,12,
000004,2022,02,14,텍스트 약간 지워짐(답은 맞음)
000005,2026,07,02,
000006,2026,02,17,
000007,2026,06,25,
000008,2027,06,29,
000009,2026,10,29,
000010,2026,06,08,
000011,2026,02,05,
000012,2026,03,23,
000013,2026,03,20,
000014,2026,01,31,
000015,2026,03,01,
000016,2026,01,22,
000017,2026,11,25,
000018,2026,04,24,2026.04.24
000019,2026,04,09,2026.04.09
000020,2025,10,09,
000021,2025,10,10,
000022,2025,10,14,
000023,2025,10,11,"2025.10.11(텍스트 지워짐), 도트 문자"
000024,NONE,NONE,NONE,
000025,2026,06,11,
000026,2025,11,13,
000027,2026,04,27,"ED, PD, F가 무슨 의미인지 알아야될 것 같음."
000028,2026,02,10,"음성메시지 유효기간을 유통기한으로 알아들음 => 실제로는 2026.02.10 따로 유통기한, 유효기한 등이 안 적혀있음"
000029,2026,08,02,H1?
000030,2028,08,17,
000031,2026,02,14,
000032,2026,03,22,"2026.03.22(22에 빛이 들어와서 약간 흐려짐, 확인 필요)"
000033,2026,06,17,
000034,2026,06,30,2026.06.30(도트문자에서 약한가?) F2?
000035,2026,08,17,
000036,2026,08,26,
000037,2026,07,17,
000038,2027,02,12,
000039,2026,05,26,
000040,2025,10,11,
000041,2025,10,11,
000042,2025,10,12,
000043,NONE,10,14,
000044,2026,02,07,
000045,2027,04,21,
000046,2025,10,10,
000047,2027,04,14,
000048,2026,06,12,
000049,2026,03,01,
000050,2025,09,30,
000051,2026,01,12,"2026.01.12(제품이 2개 있어서, 분간 어려울 수 있음, 근데 숫자도 틀리나?)"
000052,2025,11,19,
000053,2025,12,20,
000054,2025,10,08,
000055,2026,08,04,
000056,2026,07,11,
000057,2026,06,24,
000058,2027,03,27,
000059,2027,06,22,
000060,2026,04,30,2026.04.30(여기도 이미지의 약간의 glitch(비닐 봉제선?같은게 숫자를 가로지름))
000061,2026,06,04,
000062,2026,05,26,
000063,2026,06,16,
000064,2026,08,03,
000065,2026,01,12,
000066,2026,08,17,
000067,2025,12,19,
000068,2026,06,17,
000069,2026,06,24,
000070,2026,10,08,
000071,2027,07,20,
000072,2026,04,25,
000073,2026,03,12,
000074,2026,08,28,
000075,2026,01,06,
000076,2026,08,17,
000077,2026,03,07,
000078,2026,06,19,2026.06.19(월과 일 사이에 점이 빠짐. 이걸 월/일로 인식하지 못한 듯)
000079,2026,01,31,
000080,2026,09,16,"2026.09.16(도트문자, 확실히 도트를 잘 인식 못 하는 듯)"
000081,2026,05,18,
000082,2026,08,24,
000083,2026,07,01,2026.07.01(도트문자)
000084,2026,03,31,텍스트 번짐은 잘 인식하나?
000085,2026,03,30,
000086,2026,03,14,
000087,2026,08,10,
000088,2026,09,03,2026.09.03(도트문자)
000089,2026,09,11,
000090,2026,09,01,2026.09.01(도트문자)
000091,2027,05,22,
000092,2026,12,05,
000093,2026,04,23,
000094,2027,06,30,
000095,2026,07,29,
000096,2026,05,26,
000097,2025,11,19,
000098,2026,03,11,
000099,2026,03,07,
000100,2026,02,11,
000101,2026,04,08,
000102,2025,11,13,
000103,2025,12,18,
000104,2026,04,01,
000105,2025,11,09,
000106,NONE,NONE,NONE,이건 육안으로도 알아보기 힘든데…?
000107,2025,12,25,
000108,2025,10,24,
000109,2025,12,12,
000110,2025,10,29,
000111,2025,10,25,2025.10.25(비닐 구겨짐으로 인해 숫자가 약간 알아보기 힘들 수도)
000112,2025,10,17,
000113,2026,01,16,
000114,2026,02,28,
000115,2025,12,08,
000116,2026,03,27,
000117,2025,11,28,
000118,2026,03,23,
000119,2026,08,24,
000120,2026,08,25,2026.08.25(도트문자)
000121,2027,04,13,
000122,2027,04,28,2027.04.28(도트문자+비닐 구겨짐)
000123,2026,06,04,
000124,2026,01,02,
000125,2026,04,07,
000126,2026,06,12,
000127,2026,04,27,
000128,2026,05,28,
000129,2026,01,09,2026.01.09(글씨 색깔이 포장지와 너무 비슷해서 분간 불가)
000130,2027,02,05,
000131,2026,08,05,
000132,2026,08,21,
000133,2025,11,25,
000134,2026,09,23,
000135,2026,04,18,
000136,2025,12,02,
000137,2026,03,26,
000138,2026,05,14,
000139,2026,07,26,
000140,2026,07,14,
000141,2026,09,17,
000142,2026,05,14,
000143,2027,03,06,
000144,2027,03,25,
000145,2027,03,24,
000146,2026,04,03,
000147,2026,03,21,
000148,2026,02,26,
000149,2026,04,28,
000150,2026,08,12,
000151,2026,09,07,
000152,2026,07,31,
000153,2026,10,12,
000154,2027,08,13,
000155,2026,06,22,
000156,2026,07,29,
000157,2027,07,08,2027.07.08(병뚜껑 라벨)
