id,image_id,stage,정답,확인,모델읽은,근거,메모,file
1,001001,fail,07SEP21 OZ SEP21,,07SEP21 OZ SEP21,사용자 비고,,001001_0.png
2,001016,fail,Best By FEB/21/21,,Best By FEB/21/21,사용자 비고,,001016_1.png
3,001017,fail,Sest By FEB/21/21 19:18NDL4C,Sest가 아니라 Best임,Sest By FEB/21/21 19:18NDL4C,사용자 비고,,001017_0.png
4,001018,clahe,2021.05.15,일자 약간 잘림. 바운딩 박스 문제?,2021.05.18,v5 정답 확인,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,001018_0.png
5,001018,clahe,16:19 F1,,16:19 F1,v5 정답 확인,,001018_1.png
6,001021,s2,"2021.06,28.4",4가 아니라 A,"2021.06,28.4",v5 정답 확인,,001021_0.png
7,001021,s2,10:33,,10:33,v5 정답 확인,,001021_1.png
8,001022,det5,2021-06,,2021-06,참조 사진 상속,,001022_0.png
9,001023,s2,Use by:,,Use by:,v5 정답 확인,,001023_1.png
10,001023,s2,Best before:13.07.2021,,Best before:13.07.2021,v5 정답 확인,,001023_2.png
11,001030,erode3,10-2022,,10-2022,사용자 비고,,001030_6.png
12,001031,det5,10-2922,2922가 아니라 2022(도트문자열),10-2922,사용자 비고,,001031_0.png
13,001038,s2,EXP:2021.12.28 DDFL TF29,,EXP:2021.12.28 DDFL TF29,v5 정답 확인,,001038_0.png
14,001039,s2,EXP:2021.12.28 D0FL TF29,,EXP:2021.12.28 D0FL TF29,v5 정답 확인,,001039_0.png
15,001070,fail,01.24 A,,01.24 A,사용자 비고,,001070_0.png
16,001071,fail,01.24a,,01.24a,사용자 비고,,001071_0.png
17,001072,det5,2023/09/18,,2023/09/18,v5 정답 확인,,001072_0.png
18,001072,det5,08:80,08:30(그리고 180도 돌려야 함),08:80,v5 정답 확인,,001072_1.png
19,001075,s2,BBEMEEE사UNOTSSRNGU (SOHEZ)AG ·,제외,BBEMEEE사UNOTSSRNGU (SOHEZ)AG ·,v5 정답 확인,,001075_0.png
20,001075,s2,30/09/2021,,30/09/2021,v5 정답 확인,,001075_3.png
21,001078,det5,SELL BY 2023 09 24 GRLRU,,SELL BY 2023 09 24 GRLRU,v5 정답 확인,,001078_0.png
22,001079,det5,SELL BY 2023 09 24 GRURU,,SELL BY 2023 09 24 GRURU,비고: 맞음 표기,,001079_0.png
23,001086,s2,기한:아래에 표시원 일자까지 원재료명 및,,기한:아래에 표시원 일자까지 원재료명 및,v5 정답 확인,,001086_0.png
24,001086,s2,2023.10.09,,2023.10.09,v5 정답 확인,,001086_5.png
25,001086,s2,20:38,,20:38,v5 정답 확인,,001086_6.png
26,001093,clahe,2021.05.25,,2021.05.25,v5 정답 확인,,001093_0.png
27,001093,clahe,10:36 F1,18:36 F1(도트문자열),10:36 F1,v5 정답 확인,,001093_1.png
28,001129,det5,유동기한,유통기한,유동기한,사용자 비고,,001129_0.png
