image_id,year,month,day,final_date,stage,texts,raw
000001,2027,06,26,2027-06-26,s1,161 | 판매원 홀푸드코리아(주)/제주특 | 301空 | 내포장재질 폴리에틸렌(내면) | 号卫空20130628332176 | 반품 및 교환 구입처 | 1899-1494 | 보관방법 직사광선을 피하고 서늘 | 하고 습하지 않는 곳에 실온·보관 | 1포씩 드십시오.원액 그대로 섭취 | 하거나 물에 희석하여 드십시오. | 가볍게 흔들어서 드세요 | ※부정·불량식품 신고는 국번없이 | 고시 소비자 분쟁해결 | 기준에 의거 정당한 식품안전관리인증 | HACCP | 소비자 피해에 대해 | 보상해드립니다. 식품의약품인전저 | 소비기한 2027.06.26 까지 | LOTNO 543123,"[[""161"", 18, 33, 135], [""판매원 홀푸드코리아(주)/제주특"", 50, 41, 135], [""301空"", 124, 36, 135], [""내포장재질 폴리에틸렌(내면)"", 158, 39, 139], [""号卫空20130628332176"", 192, 38, 140], [""반품 및 교환 구입처"", 228, 41, 140], [""1899-1494"", 264, 38, 142], [""보관방법 직사광선을 피하고 서늘"", 297, 39, 144], [""하고 습하지 않는 곳에 실온·보관"", 332, 40, 144], [""1포씩 드십시오.원액 그대로 섭취"", 399, 40, 147], [""하거나 물에 희석하여 드십시오."", 434, 37, 147], [""가볍게 흔들어서 드세요"", 468, 34, 149], [""※부정·불량식품 신고는 국번없이"", 500, 39, 148], [""고시 소비자 분쟁해결"", 566, 29, 155], [""식품안전관리인증"", 582, 29, 402], [""기준에 의거 정당한"", 598, 35, 152], [""HACCP"", 608, 35, 403], [""소비자 피해에 대해"", 630, 30, 155], [""보상해드립니다."", 663, 32, 155], [""식품의약품인전저"", 654, 24, 410], [""소비기한"", 723, 30, 157], [""까지"", 719, 32, 462], [""2027.06.26"", 735, 38, 276], [""LOTNO"", 761, 26, 157], [""543123"", 758, 33, 277]]"
000002,2025,12,11,2025-12-11,s1,Met TI | 나7H | JINCE1963 2025.12.11外 | 2A12106,"[[""Met TI"", 99, 23, 120], [""나7H"", 197, 50, 74], [""2025.12.11外"", 408, 33, 288], [""JINCE1963"", 418, 21, 0], [""2A12106"", 434, 40, 283]]"
000003,2026,05,12,2026-05-12,s1,2026.05.12 | 옥수수40%함유 | Caramel | PoPa | 카라벨,"[[""2026.05.12"", 402, 29, 295], [""옥수수40%함유"", 494, 47, 255], [""Caramel"", 572, 150, 261], [""PoPa"", 622, 152, 433], [""카라벨"", 682, 101, 490]]"
000004,2022,02,14,2022-02-14,det5,"卫点2020464088-368 | 시용용기따손주본제품은 | 지고기,기고기오어를사용 | 은설서제조하고있니다제품 | 는현상이있을수있으품질에는이상이으 | 들에 사용하십시오.·소비자 분쟁해결 기준에 의거 고획 | 시질가능성이있으므로,사용후에는즉시밀용하해 | 하여 주십시오. | 량물굴농축굴자농축액 궁농에 | 스트린,주정,구연산,잔진단검 대두밀조개류굴,우 | 유리 | 01007683508 45E VK | 2022.02.14 16:01","[[""卫点2020464088-368"", 29, 63, 163], [""시용용기따손주본제품은"", 73, 70, 163], [""지고기,기고기오어를사용"", 109, 60, 178], [""은설서제조하고있니다제품"", 146, 57, 176], [""는현상이있을수있으품질에는이상이으"", 182, 57, 173], [""들에 사용하십시오.·소비자 분쟁해결 기준에 의거 고획"", 217, 50, 169], [""시질가능성이있으므로,사용후에는즉시밀용하해"", 284, 53, 168], [""하여 주십시오."", 316, 46, 169], [""량물굴농축굴자농축액 궁농에"", 351, 63, 160], [""스트린,주정,구연산,잔진단검"", 448, 52, 163], [""대두밀조개류굴,우"", 447, 60, 323], [""유리"", 538, 36, 395], [""01007683508"", 590, 52, 186], [""45E"", 590, 33, 389], [""VK"", 580, 32, 466], [""2022.02.14"", 628, 56, 203], [""16:01"", 616, 57, 385]]"
000005,2026,07,02,2026-07-02,s1,21:58F590 | 2026.07.02 | 2026.07.02,"[[""21:58F590"", 355, 61, 253], [""2026.07.02"", 409, 52, 259], [""2026.07.02"", 513, 63, 234]]"
000006,2026,02,17,2026-02-17,s1,2026.02.17 | 40,"[[""2026.02.17"", 435, 52, 193], [""40"", 475, 48, 185]]"
000007,2026,06,25,2026-06-25,s1,"북동 | 量249 | 후면표기일까지 영양정보 총 내용량인18 | 260kcal | 카라기님 향료 3종 총 내용량당 기준치에 대한 비율 1일 영양성분 | 읽,기타식용휴치가공품 LE喜105.mg 5% | 우유,돼지고기 함유 탄수화물62g 19 % | 질폴리에틸렌 당류 47 g 47 % | 19870415003402 지방O8 0% | 갈, 대두, 혼두,복숭아, 종 트랜스지방 0g | 포함) 혼입가능 :제품을 포화지방 0 g 0% | 고삼키지 않도록 주의하세 콜레스테롤0mg 0% | 자 기본법에 의한 피해보 단백질3g 5% | 광선을 피해 온·습도가 | 보관,개봉 후 가급적 빨 이므로 개인의 필요 열량에 따라 다를 수 있습니다. | ·부정·불량식품 신고 | 5700（）1522-40 | 1:본사 및 구입한 곳 ·제조과정 중 원료가 군거나 고은에서 갈변화되어 흰색 | 명어리나 검은 점이 보일 수 있으나 인체에 무해합니다. | 소비 25.06.26 부터 | 71655709 OTHEL | 기한 26.06.25 까지 | HACCR 22:06 A03","[[""북동"", 107, 24, 111], [""量249"", 122, 33, 93], [""후면표기일까지"", 142, 33, 77], [""영양정보"", 170, 35, 343], [""총 내용량인18"", 170, 35, 467], [""260kcal"", 188, 28, 511], [""카라기님 향료 3종"", 205, 25, 59], [""총 내용량당 기준치에 대한 비율"", 221, 57, 336], [""1일 영양성분"", 209, 28, 486], [""읽,기타식용휴치가공품"", 235, 34, 0], [""LE喜105.mg"", 242, 39, 336], [""우유,돼지고기 함유"", 258, 25, 59], [""탄수화물62g"", 260, 41, 335], [""5%"", 250, 25, 560], [""질폴리에틸렌"", 277, 26, 2], [""당류 47 g"", 279, 37, 347], [""19 %"", 270, 31, 551], [""19870415003402"", 297, 28, 2], [""지방O8"", 299, 34, 332], [""47 %"", 291, 28, 553], [""갈, 대두, 혼두,복숭아, 종"", 320, 28, 1], [""트랜스지방 0g"", 324, 40, 346], [""0%"", 312, 26, 564], [""포함) 혼입가능 :제품을"", 341, 32, 4], [""포화지방 0 g"", 347, 34, 345], [""고삼키지 않도록 주의하세"", 363, 32, 0], [""0%"", 358, 26, 569], [""콜레스테롤0mg"", 372, 34, 328], [""자 기본법에 의한 피해보"", 387, 36, 0], [""0%"", 382, 29, 569], [""단백질3g"", 396, 35, 328], [""광선을 피해 온·습도가"", 412, 37, 0], [""5%"", 407, 26, 571], [""보관,개봉 후 가급적 빨"", 436, 37, 4], [""이므로 개인의 필요 열량에 따라 다를 수 있습니다."", 446, 37, 322], [""·부정·불량식품 신고"", 462, 38, 2], [""5700（）1522-40"", 512, 33, 1], [""1:본사 및 구입한 곳"", 538, 37, 0], [""·제조과정 중 원료가 군거나 고은에서 갈변화되어 흰색"", 543, 40, 349], [""명어리나 검은 점이 보일 수 있으나 인체에 무해합니다."", 565, 39, 347], [""소비"", 630, 27, 276], [""71655709"", 646, 31, 0], [""OTHEL"", 647, 28, 149], [""25.06.26"", 646, 45, 352], [""부터"", 646, 32, 570], [""기한"", 671, 34, 272], [""26.06.25"", 682, 43, 352], [""HACCR"", 694, 21, 149], [""까지"", 692, 26, 568], [""22:06"", 707, 30, 357], [""A03"", 714, 24, 458]]"
000008,2027,06,29,2027-06-29,det5,2027.06.29 A,"[[""2027.06.29 A"", 552, 60, 134]]"
000009,2026,10,29,2026-10-29,s1,"백설 포도씨유 | 100% | 수있습니다.사용후비용기와마개는 분리수거하여 재활용합시다.과열되거  | P5 2026.10.29 09人l | 제품명 포도씨유 식품유형 기타식물성유지 | 내용량 900 mL(7,430 kcal, 25 ℃) | 원재료명 100% | 업소명및 씨제이제일제당(주) | 소재지 14049 | 품목보고번호 19790190025-19 반품및구입처또는 | 소비기한라벨 상단표기일까지 교환처영업소 | 포장재질(내면) 용기-PET, 마개-PE | 영양정보 | 나트륨Omg 87% | 100g185% 13 | 콜레스테롤Omg 0% 단백질0g 0% | 1g=1.09mL","[[""포도씨유"", 59, 81, 347], [""백설"", 68, 61, 257], [""100%"", 99, 36, 357], [""수있습니다.사용후비용기와마개는 분리수거하여 재활용합시다.과열되거 "", 332, 48, 163], [""P5"", 434, 25, 167], [""2026.10.29 09人l"", 439, 34, 265], [""제품명"", 488, 29, 163], [""포도씨유"", 489, 30, 222], [""식품유형 기타식물성유지"", 492, 29, 399], [""내용량"", 518, 29, 164], [""900 mL(7,430 kcal, 25 ℃)"", 522, 34, 221], [""원재료명"", 550, 29, 164], [""100%"", 554, 31, 217], [""업소명및"", 583, 40, 159], [""씨제이제일제당(주)"", 590, 31, 268], [""소재지"", 610, 34, 161], [""14049"", 616, 36, 267], [""품목보고번호"", 646, 36, 163], [""19790190025-19"", 653, 28, 270], [""반품및구입처또는"", 649, 42, 425], [""소비기한라벨 상단표기일까지"", 680, 51, 162], [""교환처영업소"", 678, 39, 429], [""포장재질(내면) 용기-PET, 마개-PE"", 744, 55, 163], [""영양정보"", 779, 52, 164], [""나트륨Omg"", 813, 42, 169], [""100g185%"", 844, 51, 167], [""87%"", 830, 30, 521], [""13"", 848, 55, 288], [""콜레스테롤Omg"", 873, 50, 168], [""0%"", 882, 25, 296], [""단백질0g 0%"", 877, 38, 370], [""1g=1.09mL"", 942, 37, 174]]"
000010,2026,06,08,2026-06-08,rot90,2026.06.08 E 씬즈 오 곳 | 초코 크림,"[[""씬즈"", 233, 158, 380], [""2026.06.08 E"", 318, 298, 297], [""곳"", 238, 86, 661], [""오"", 274, 122, 504], [""초코 크림"", 410, 131, 413]]"
