image_id,year,month,day,final_date,stage,texts
000001,2027,06,26,2027-06-26,s1,161 | 판매원 홀푸드코리아(주)/제주특 | 301空 | 내포장재질 폴리에틸렌(내면) | 号卫空20130628332176 | 반품 및 교환 구입처 | 1899-1494 | 보관방법 직사광선을 피하고 서늘 | 하고 습하지 않는 곳에 실온·보관 | 1포씩 드십시오.원액 그대로 섭취 | 하거나 물에 희석하여 드십시오. | 가볍게 흔들어서 드세요 | ※부정·불량식품 신고는 국번없이 | 고시 소비자 분쟁해결 | 기준에 의거 정당한 식품안전관리인증 | HACCP | 소비자 피해에 대해 | 보상해드립니다. 식품의약품인전저 | 소비기한 2027.06.26 까지 | LOTNO 543123
000002,2025,12,11,2025-12-11,s1,Met TI | 나7H | JINCE1963 2025.12.11外 | 2A12106
000003,2026,05,12,2026-05-12,s1,2026.05.12 | 옥수수40%함유 | Caramel | PoPa | 카라벨
000004,2022,02,14,2022-02-14,det5,"220464088 | 품사용시용기따손주본제품은토토 | 제,되지고기,고,쇠고기오장어를시용한세 | 조시설에서제조하고있습니다.제품특성생습 | 는상이있을수있으나품질에는이상이으 | 들에사용하십시오·소비자 분쟁해결 기준에 의거 교통되 | 기는·부정불량식품 신고는 국번없이 39·개봉 | 시번질가능성이있으므로,사용후에는죽시밀봉하해하 | 환하여주십시오 | 및함량매물굴농축에굴자식농축액골농에국 | 에지두외국신,우수 | 레스트린,주정,구연산,탄김 센니트중제정소국신 대두,밀조개류(굴,세유 | 유리 | 01007683508 드 뚜개방 VK | 2022.02.14 16:01"
000005,2026,07,02,2026-07-02,s1,21:58F590 | 2026.07.02 | 2026.07.02
000006,2026,02,17,2026-02-17,s1,2026.02.17 | 40
000007,2026,06,25,2026-06-25,s1,"북동 | 量249 | 후면표기일까지 영양정보 총 내용량인18 | 260kcal | 카라기님 향료 3종 총 내용량당 기준치에 대한 비율 1일 영양성분 | 읽,기타식용휴치가공품 LE喜105.mg 5% | 우유,돼지고기 함유 탄수화물62g 19 % | 질폴리에틸렌 당류 47 g 47 % | 19870415003402 지방O8 0% | 갈, 대두, 혼두,복숭아, 종 트랜스지방 0g | 포함) 혼입가능 :제품을 포화지방 0 g 0% | 고삼키지 않도록 주의하세 콜레스테롤0mg 0% | 자 기본법에 의한 피해보 단백질3g 5% | 광선을 피해 온·습도가 | 보관,개봉 후 가급적 빨 이므로 개인의 필요 열량에 따라 다를 수 있습니다. | ·부정·불량식품 신고 | 5700（）1522-40 | 1:본사 및 구입한 곳 ·제조과정 중 원료가 군거나 고은에서 갈변화되어 흰색 | 명어리나 검은 점이 보일 수 있으나 인체에 무해합니다. | 소비 25.06.26 부터 | 71655709 OTHEL | 기한 26.06.25 까지 | HACCR 22:06 A03"
000008,2027,06,29,2027-06-29,det5,2027.06.29 A
000009,2026,10,29,2026-10-29,s1,"백설 포도씨유 | 100% | 수있습니다.사용후비용기와마개는 분리수거하여 재활용합시다.과열되거  | P5 2026.10.29 09人l | 제품명 포도씨유 식품유형 기타식물성유지 | 내용량 900 mL(7,430 kcal, 25 ℃) | 원재료명 100% | 업소명및 씨제이제일제당(주) | 소재지 14049 | 품목보고번호 19790190025-19 반품및구입처또는 | 소비기한라벨 상단표기일까지 교환처영업소 | 포장재질(내면) 용기-PET, 마개-PE | 영양정보 | 나트륨Omg 87% | 100g185% 13 | 콜레스테롤Omg 0% 단백질0g 0% | 1g=1.09mL"
000010,2026,06,08,2026-06-08,det5,1980 T류정포데오당! | 리츠 리즈 | 리츠 비길 | 리즈 | 오레이 | 씨즈 초코크림 | 2026.06. 08
000011,2026,02,05,2026-02-05,s1,리츠 치즈 | 리츠 치즈 | RITZ | RITZ | CHEESE | 2026.02.05 D
000012,2026,03,23,2026-03-23,s1,ARLEY HARDI | 공한 | OTHER 사광 ma | 용물의 파손을 막기 | ircushion)을하 | 1정·불량 식품 신 | 180941318821641 | 소비기한: | 2026-03-23 까지
000013,2026,03,20,2026-03-20,s1,"ONEY MUSTAF | 기한 | EL 2026.03.20A | 첼 품명:프레첼허니향머 | TARD H名号:85 g(409kcal | E 품유형:과자(유처리 | 나드맛 넘기도파주시월통산로40 | 러드머스타 | E 변성전분 데스E | 당가공소금정제소금 제상인 | 사양벌꿀 | 김.대두,우유"
000014,2026,01,31,2026-01-31,s1,"한국식 스웨데젤리식품의유형캔디류 号丘7120100211096119 | 100g(360kcal) | TEL031-957-4788 | 돼지고기,우유함유 | (식용색소황색제4호,식용색소청색제1호) | 영양정보 총내용량당 | 총내용량 나트륨44mg 2% 지방0g 0% 26.01.31 | 100g 全支号 88g 27% 트랜스지방0g 까지 | 360 kal 당류 7g 7% 포화지방0g 0% | 콜레스테를Omg 단백질19 2% | OTHER | 031- | 손비장 957-4788 | 상담실"
000015,2026,03,01,2026-03-01,s1,"Market | 마켓오 브리우니 | 소비 2025, 09, 02/21135 부터 | E 기한 2026.03.017A 까지 | Ket • | ACE2008 | New"
