image_id,year,month,day,final_date,stage
000024,NONE,NONE,NONE,NONE,fail
000034,NONE,NONE,NONE,NONE,fail
000078,NONE,NONE,NONE,NONE,fail
000080,NONE,NONE,NONE,NONE,fail
000083,NONE,NONE,NONE,NONE,fail
000090,NONE,NONE,NONE,NONE,fail
000106,NONE,NONE,NONE,NONE,fail
000122,NONE,NONE,NONE,NONE,fail
000129,NONE,NONE,NONE,NONE,fail
000157,NONE,NONE,NONE,NONE,fail
000182,NONE,NONE,NONE,NONE,fail
000191,NONE,NONE,NONE,NONE,fail
000198,NONE,NONE,NONE,NONE,fail
000209,NONE,NONE,NONE,NONE,fail
000210,NONE,NONE,NONE,NONE,fail
000232,NONE,NONE,NONE,NONE,fail
000255,NONE,NONE,NONE,NONE,fail
000263,NONE,NONE,NONE,NONE,fail
000288,NONE,NONE,NONE,NONE,fail
000289,NONE,NONE,NONE,NONE,fail
000355,NONE,NONE,NONE,NONE,fail
000358,NONE,NONE,NONE,NONE,fail
000360,NONE,NONE,NONE,NONE,fail
000378,NONE,NONE,NONE,NONE,fail
000395,NONE,NONE,NONE,NONE,fail
000415,NONE,NONE,NONE,NONE,fail
000429,NONE,NONE,NONE,NONE,fail
000437,NONE,NONE,NONE,NONE,fail
000438,NONE,NONE,NONE,NONE,fail
000440,NONE,NONE,NONE,NONE,fail
000452,NONE,NONE,NONE,NONE,fail
000482,NONE,NONE,NONE,NONE,fail
000486,NONE,NONE,NONE,NONE,fail
000515,NONE,NONE,NONE,NONE,fail
000530,NONE,NONE,NONE,NONE,fail
000534,NONE,NONE,NONE,NONE,fail
000537,NONE,NONE,NONE,NONE,fail
000543,NONE,NONE,NONE,NONE,fail
000544,NONE,NONE,NONE,NONE,fail
000572,NONE,10,15,NONE-10-15,fail
000573,NONE,NONE,NONE,NONE,fail
000586,NONE,NONE,NONE,NONE,fail
000593,NONE,NONE,NONE,NONE,fail
000608,NONE,NONE,NONE,NONE,fail
000627,NONE,NONE,NONE,NONE,fail
000648,NONE,NONE,NONE,NONE,fail
000649,NONE,NONE,NONE,NONE,fail
000666,NONE,NONE,NONE,NONE,fail
000670,NONE,NONE,NONE,NONE,fail
000673,NONE,NONE,NONE,NONE,fail
000694,NONE,NONE,NONE,NONE,fail
000698,NONE,NONE,NONE,NONE,fail
000699,NONE,NONE,NONE,NONE,fail
000717,NONE,NONE,NONE,NONE,fail
000722,NONE,NONE,NONE,NONE,fail
000723,NONE,NONE,NONE,NONE,fail
000727,NONE,NONE,NONE,NONE,fail
000730,NONE,NONE,NONE,NONE,fail
000732,NONE,NONE,NONE,NONE,fail
000749,NONE,NONE,NONE,NONE,fail
000753,NONE,NONE,NONE,NONE,fail
000760,NONE,NONE,NONE,NONE,fail
000761,NONE,NONE,NONE,NONE,fail
000763,NONE,NONE,NONE,NONE,fail
000764,NONE,NONE,NONE,NONE,fail
000765,NONE,NONE,NONE,NONE,fail
000767,NONE,NONE,NONE,NONE,fail
000770,NONE,NONE,NONE,NONE,fail
000771,NONE,NONE,NONE,NONE,fail
000777,NONE,NONE,NONE,NONE,fail
000778,NONE,NONE,NONE,NONE,fail
000786,NONE,12,17,NONE-12-17,fail
000788,NONE,NONE,NONE,NONE,fail
000789,NONE,NONE,NONE,NONE,fail
000791,NONE,NONE,NONE,NONE,fail
000795,NONE,NONE,NONE,NONE,fail
000796,NONE,NONE,NONE,NONE,fail
000798,NONE,NONE,NONE,NONE,fail
000799,NONE,NONE,NONE,NONE,fail
000804,NONE,NONE,NONE,NONE,fail
000805,NONE,NONE,NONE,NONE,fail
000814,NONE,NONE,NONE,NONE,fail
000815,NONE,NONE,NONE,NONE,fail
000816,NONE,NONE,NONE,NONE,fail
000817,NONE,NONE,NONE,NONE,fail
000818,NONE,NONE,NONE,NONE,fail
000822,NONE,NONE,NONE,NONE,fail
000828,NONE,NONE,NONE,NONE,fail
000831,NONE,NONE,NONE,NONE,fail
000832,NONE,NONE,NONE,NONE,fail
000837,NONE,NONE,NONE,NONE,fail
000838,NONE,NONE,NONE,NONE,fail
000852,NONE,NONE,NONE,NONE,fail
000859,NONE,NONE,NONE,NONE,fail
000861,NONE,NONE,NONE,NONE,fail
000862,NONE,NONE,NONE,NONE,fail
000863,NONE,NONE,NONE,NONE,fail
000865,NONE,NONE,NONE,NONE,fail
000867,NONE,NONE,NONE,NONE,fail
000868,NONE,NONE,NONE,NONE,fail
000872,NONE,NONE,NONE,NONE,fail
000878,NONE,NONE,NONE,NONE,fail
000885,NONE,NONE,NONE,NONE,fail
000887,NONE,NONE,NONE,NONE,fail
000888,NONE,NONE,NONE,NONE,fail
000905,NONE,NONE,NONE,NONE,fail
000906,NONE,NONE,NONE,NONE,fail
000907,NONE,NONE,NONE,NONE,fail
000908,NONE,NONE,NONE,NONE,fail
000913,NONE,NONE,NONE,NONE,fail
000933,NONE,NONE,NONE,NONE,fail
000940,NONE,NONE,NONE,NONE,fail
000973,NONE,NONE,NONE,NONE,fail
000974,NONE,NONE,NONE,NONE,fail
000978,NONE,NONE,NONE,NONE,fail
000986,NONE,NONE,NONE,NONE,fail
000990,NONE,NONE,NONE,NONE,fail
000993,NONE,02,18,NONE-02-18,fail
000994,NONE,NONE,NONE,NONE,fail
000995,NONE,NONE,NONE,NONE,fail
000996,NONE,02,17,NONE-02-17,fail
000997,NONE,NONE,NONE,NONE,fail
001001,NONE,NONE,NONE,NONE,fail
001002,NONE,NONE,NONE,NONE,fail
001003,NONE,NONE,NONE,NONE,fail
001005,NONE,NONE,NONE,NONE,fail
001016,NONE,NONE,NONE,NONE,fail
001017,NONE,NONE,NONE,NONE,fail
001019,NONE,NONE,NONE,NONE,fail
001022,NONE,NONE,NONE,NONE,fail
001030,NONE,NONE,NONE,NONE,fail
001031,NONE,NONE,NONE,NONE,fail
001070,NONE,NONE,NONE,NONE,fail
001071,NONE,NONE,NONE,NONE,fail
001079,NONE,NONE,NONE,NONE,fail
