image_id,year,month,day,final_date,stage
000001,2027,06,26,2027-06-26,s1
000008,2027,06,29,2027-06-29,clahe
000013,2026,03,20,2026-03-20,s1
000015,2026,03,01,2026-03-01,s1
000018,2025,04,02,2025-04-02,s1
000023,2025,10,10,2025-10-10,s1
000026,2025,11,13,2025-11-13,s1
000027,2026,04,27,2026-04-27,s1
000030,2028,08,17,2028-08-17,s1
000031,2026,02,14,2026-02-14,s1
000032,2026,03,28,2026-03-28,clahe
000033,2026,06,17,2026-06-17,s1
000034,NONE,NONE,NONE,NONE,fail
000044,2026,02,07,2026-02-07,up2x
000045,2027,04,21,2027-04-21,s1
000046,2025,10,10,2025-10-10,s1
000049,2026,03,01,2026-03-01,s1
000052,2025,11,19,2025-11-19,s1
000053,2025,12,20,2025-12-20,s1
000057,2026,06,24,2026-06-24,s1
000059,2027,06,22,2027-06-22,s1
000060,2026,04,13,2026-04-13,s1
000064,2026,08,03,2026-08-03,s1
000068,2026,06,17,2026-06-17,s1
000070,2026,10,08,2026-10-08,s1
000071,2027,07,20,2027-07-20,s1
000074,2026,08,28,2026-08-28,s1
000077,2026,03,07,2026-03-07,s1
000081,2026,05,18,2026-05-18,s1
000088,2025,09,04,2025-09-04,s1
000089,2026,09,11,2026-09-11,s1
000094,2027,06,30,2027-06-30,s1
000097,2025,11,19,2025-11-19,s1
000103,2025,12,18,2025-12-18,rot90
000105,2025,11,09,2025-11-09,s1
000109,2025,12,12,2025-12-12,s1
000110,2025,10,29,2025-10-29,s1
000112,2025,10,17,2025-10-17,s1
000121,2027,04,13,2027-04-13,s1
000125,2026,04,07,2026-04-07,s1
000135,2026,04,18,2026-04-18,s1
000136,2025,12,02,2025-12-02,s1
000140,2026,07,14,2026-07-14,s1
000142,2026,05,14,2026-05-14,s1
000145,2027,03,24,2027-03-24,s1
000150,2026,08,12,2026-08-12,s1
000153,2026,10,12,2026-10-12,s1
000158,2028,07,20,2028-07-20,s1
000163,2020,01,01,2020-01-01,rot90
000167,2026,08,07,2026-08-07,s1
000169,2026,03,18,2026-03-18,s1
000171,2026,05,27,2026-05-27,s1
000174,2026,09,05,2026-09-05,s1
000175,2025,09,29,2025-09-29,s1
000176,2026,09,22,2026-09-22,s1
000177,2025,08,19,2025-08-19,s1
000178,2025,09,26,2025-09-26,s1
000179,2026,06,29,2026-06-29,s1
000180,2026,06,02,2026-06-02,s1
000184,2027,11,19,2027-11-19,s1
000185,2028,03,15,2028-03-15,s1
000189,2026,08,25,2026-08-25,s1
000193,2026,03,06,2026-03-06,s1
000195,2027,07,01,2027-07-01,s1
000196,2027,02,27,2027-02-27,s1
000197,2026,07,30,2026-07-30,s1
000200,NONE,04,03,NONE-04-03,s1
000204,2026,06,18,2026-06-18,s1
000209,NONE,NONE,NONE,NONE,fail
000211,2026,02,12,2026-02-12,s1
000212,2023,12,16,2023-12-16,clahe
000213,2026,03,20,2026-03-20,s1
000215,2020,10,14,2020-10-14,clahe
000219,2026,09,07,2026-09-07,s1
000220,2026,02,23,2026-02-23,s1
000222,2026,03,25,2026-03-25,s1
000227,2028,09,17,2028-09-17,s1
000228,2025,10,20,2025-10-20,s1
000230,2026,03,28,2026-03-28,s1
000232,NONE,NONE,NONE,NONE,fail
000234,2027,10,26,2027-10-26,s1
000239,2026,07,10,2026-07-10,s1
000240,2027,05,20,2027-05-20,s1
000241,2027,08,10,2027-08-10,s1
000247,2026,05,20,2026-05-20,rot90
000248,2026,04,21,2026-04-21,s1
000252,2026,07,09,2026-07-09,s1
000255,NONE,NONE,NONE,NONE,fail
000257,2025,12,10,2025-12-10,s1
000258,2026,05,30,2026-05-30,s1
000264,2026,06,06,2026-06-06,s1
000267,2026,06,02,2026-06-02,s1
000271,2026,03,24,2026-03-24,s1
000273,2026,03,13,2026-03-13,s1
000275,2026,04,23,2026-04-23,s1
000277,2026,07,15,2026-07-15,s1
000279,2026,06,02,2026-06-02,s1
000280,2026,03,23,2026-03-23,s1
000283,2027,09,17,2027-09-17,s1
000284,2026,08,20,2026-08-20,s1
000289,NONE,NONE,NONE,NONE,fail
000290,2027,03,02,2027-03-02,s1
000292,2026,02,13,2026-02-13,s1
000296,2026,07,28,2026-07-28,s1
000297,2026,04,08,2026-04-08,s1
000299,2026,05,13,2026-05-13,s1
000300,2026,05,21,2026-05-21,s1
000310,2026,09,28,2026-09-28,s1
000314,2026,09,01,2026-09-01,s1
000315,2026,07,19,2026-07-19,s1
000316,2027,03,01,2027-03-01,s1
000319,2026,02,14,2026-02-14,s1
000322,2025,10,29,2025-10-29,s1
000323,2025,12,21,2025-12-21,s1
000325,2025,11,03,2025-11-03,s1
000326,2025,10,18,2025-10-18,s1
000332,2025,10,22,2025-10-22,s1
000333,2025,11,07,2025-11-07,s1
000344,2026,08,04,2026-08-04,s1
000347,2027,05,26,2027-05-26,s1
000351,2026,05,03,2026-05-03,s1
000352,2026,08,27,2026-08-27,s1
000355,NONE,NONE,NONE,NONE,fail
000362,2026,08,11,2026-08-11,s1
000366,2026,09,05,2026-09-05,s1
000367,2026,05,18,2026-05-18,s1
000368,NONE,04,02,NONE-04-02,s1
000369,2027,06,25,2027-06-25,s1
000371,2026,02,15,2026-02-15,s1
000388,2026,01,15,2026-01-15,s1
000394,2020,04,14,2020-04-14,clahe
000403,2027,04,01,2027-04-01,up2x
000408,2025,10,09,2025-10-09,s1
000409,2027,03,26,2027-03-26,s2
000411,2026,09,09,2026-09-09,s1
000412,2026,01,19,2026-01-19,s1
000415,NONE,NONE,NONE,NONE,fail
000416,NONE,04,07,NONE-04-07,rot90
000417,2026,03,15,2026-03-15,s1
000421,2026,07,17,2026-07-17,s1
000423,2026,06,04,2026-06-04,s1
000424,2026,03,28,2026-03-28,s1
000431,2026,03,17,2026-03-17,s1
000433,2026,03,05,2026-03-05,s1
000434,2026,10,28,2026-10-28,s1
000436,2026,02,12,2026-02-12,s1
000437,NONE,NONE,NONE,NONE,fail
000439,2026,03,18,2026-03-18,s1
000440,NONE,NONE,NONE,NONE,fail
000443,2026,04,06,2026-04-06,s1
000444,2026,07,01,2026-07-01,s1
000450,2026,03,11,2026-03-11,s1
000451,2026,02,27,2026-02-27,s1
000458,2026,07,01,2026-07-01,s1
000461,2026,11,28,2026-11-28,s1
000462,2027,05,27,2027-05-27,s1
000463,2027,02,01,2027-02-01,s1
000464,2026,03,19,2026-03-19,s1
000465,2027,07,30,2027-07-30,s1
000466,2027,06,07,2027-06-07,s1
000469,2026,07,21,2026-07-21,s1
000472,2026,01,17,2026-01-17,rot90
000473,2026,03,01,2026-03-01,up2x
000479,2026,05,22,2026-05-22,s1
000480,2026,07,21,2026-07-21,s1
000486,NONE,NONE,NONE,NONE,fail
