file,n_boxes,n_stage1,date_stage1,date_stage2,texts
images\001578.jpg,32,19,2022-11-05,,"유통기한 | 2022.11.05 | 받으실주 있습니다. | 소재지 | 업소명 및 | 문의 및 교환처 | 내포장재질 | 원재료명 | 98 %, 합성향료(밀크향)2 %) | 식품유형 | 침춤차 | 내용량 | 품목보고번호 | 제품명 | 15 g (1.5 gx10 E|백) | 밀크향 가득 우콩차 | MILK FLAVOR OOLONGTEA | Sea @lle | Prennium"
images\003105.jpg,15,6,,,2023.12.0610:13 |  |  | 청정원 | EORRP | 해사과식초'는? |  |  | 면의 맛과 향이 부합니다. | 024 | IACCF | 사 | V | 02 | 2배시시
images\001723.jpg,9,9,2021-05-13,,여낸 | 만든 | e | 지겨 |  | 2021.05.13 F1A1 | 유통기한 | 까지 | 절취선
images\000166.jpg,5,4,2027-08-18,,문 | 2027.08.18까지 | 보관시지퍼를이용하세요 | 뜯는곳
images\001061.jpg,25,21,2021-01-05 2022-07-04,,"도논보  | 시실서 제조하고 있습니다.조시제이제당(주/중 | 의,보상가능·이제품은 말을사용제과같은 제조 | 식품 신고는국변입이 13·본 제통은 소비자분정 해결기준에 | 이므로 개인의 필요 열량에 따라다를 수있습니다. | 지는 것은 숙성에의한 한상으로 안심하고 드세요·부정불증 | 1일 영양성분 기준치에 대한 비율(%은2.00 cal 기준 | 을 때 실은보개 후 장보·식이 진해 | 기무경-유리드인·변통및교처전국관·보 | 지방2g4% 0g지방0g0% | 정제소금,대두분,국산가루,국두은·포장질 | (국비,정제수 천일국센)기루20월고추국센,주정,대두, | 号260mg128%号46g14%2g23% | 추양중국산고가루 9.3%,정제소금,파,마는)쌀209% | 영양정보 | ·식품의 유항고추장·내용량50g·원재료명및 량물엇고 | 2022.07.04 | 까지 | 유통기한: | 2021.01.05 | 제조일자:"
images\002095.jpg,6,6,2021-04-28,,2021.04.28 지 | 근하 | 이YR | CAYIOO | (10 8)6.08) | 헬
images\001991.jpg,59,49,2021-12-28,,"롯데스카치커피 |  | 자 매 품 | 21.12.28A2 | 사인열매 | 데제과 제의C 일부는 | 영양성분 기준치에대한 비울(%)은 2.000kcal 기준이! | 080-024-6060 | 롯대제과 | 4질1g만 | 고객지원센터 | 1% | 데를20mg | 7% | 방13g | 87% | 좋도록 주의하세요 | 방0.2g | 약에는 차 이가 없습니다.·한번에 삼키지 | 간혹'빈올지가 나홀수 있으나 제품  | 28% | 2·량식 신공듯 국없이 139 | 110% | 유지출는 고운마음, 안버리는 밝은마 | 탄스140g | 43% | 연질품은 본사 및 구입상점에서 항상교 | 트륨 360mg | 18% | 시고,개봉 후 빨리 드십시오.:유통 | 내용량당 | 1일영양성분기준치에대한비을 | 해 30°C 이하에서 낮은 습도로 보간 | 700kcal |  제품이 고온에 약합니다.직사광 | 영양정보 | 총 내용량 157g | 잇습니다.-속비자 기본법에 의한 피 | 한 제품과 같은 제조시설에서 제 | ·이 제품을 됐지고기,복숭아 | 售号：1198008600210 | 내포장재질폴리에렌 | 캔디 | 스카치 | 우유,대두 | E바나나놓의 | 원재료명 |  | 157g"
images\001659.jpg,36,31,2022-10-05,,"8809219694329 | 2022.10.05 | 유통기한 | 11399 | ·반품 및교환장소제조원및각구입처 | 또는 환불 받을수있습니다 | 비자분쟁해결기준에의거교환,보상 | ·본 제품은 공정거래위원회 고시 소 | 한곳에밀봉하여 보관하십시오. | ·보관방법:직사광선을피하고서늘 | 같은 제조시설에서 제조하고있습니다. | 쇠고기,홍합,새우를 사용한 제품과 | ※이 제품은 우유,메밀 땅콩,대두밀 | TEL:043-536-2546 | 천군친천읍금사로170 | 소분업소베이시스푸드(주)/충북 진 | TEL:043-882-3752 | 67935 | 수입업소(주)티알아이/충청북도음성 | 수출회사KUTAS | 원산지터키산 | 리드지-폴리에틸렌 | 프탈레이트,뚜껑-폴리프로필렌, | 포장재질(내면) 용기-폴리에틸렌테레 | 별도표시일까지 | 유통기한 | 월계잎100% | 원료명및함량 | 내용량45 g | 라우엘(베이)리브즈 | 제품명"
images\003211.jpg,6,6,,,FRUIT BOWLS | Peach | Dke | 복숭아 | m100uice | BEST BY AUG 11 2021
images\001243.jpg,12,6,,,"PESO LIDUIDO | (2,820z) | 31/12/2023 | 201474 | NET WEIGHT | 80 GR. |  | BBE: | Lot | POIDS NET | Lote | PESO NETO"
images\001953.jpg,78,42,,,"488430011402 | EMB29168A | g | OCT.o2021 | 40 | Aconsommer de préférence ay | OTHER | 단백질3g 5% | 포화지방6g 40% | 콜레스테를25mg 8% | Vitamine C/Vitamin C | 트랜스지방1g | 당류 8g 8% | 지방9g 17% | 탄수화물23g 7% | 총내용량 40g, 185kcal | 나트륨 213mg 11% | 영양정보 | 반품 및 교환장소:구입처 및수입판매업소 | Sucres /Sugars 1,5g | du Raz | 19 | Fibres / Fibre O g | 포장재질:종이(내포장:폴리에틸렌) | Glucides / Carbohydrate 4,5 g | Sodium / Sodium 42,5 mg | 유통기한 | is extra f | 우유,밀계란함유 | es beurre | 프랑스 | 원산지 | 원재료명 | enu  nd | BISCUITERIE DE LA POINTE DU RAZ | heures. | 제조회사 | 내용량 40g (185kcal) | 수입판매원 | 식품의 유형과자 | 갈레트브르통 | 제품명 | yant fin: | Poids net/Net weight/Nettogewicht: | 6% |  | Fer / Iron | 0% | Calcium/ Calcium | 1일 영양성분 기준치에 대한 비율(%)은 2,00kcal 기준이므로 개인의 필요열량에 따라 다를 수 있습니다. | 0% | 6% | Vitamine A/Vitamin A | Protéines / Protein 0,5 g | 0% | 직사광선을 피하고 건조하고 서늘한곳에 보관하세요. | 6% | 7% | 1jan2월fev 3mars avi 5mai 6juin7jui 8월 aout9sep 10 oct11월 nov 12dec | 7% | 25% | 제품별도표시된Best before:월/년의 01일까지 | Cholestérol/ Cholesterol 5 mg | + trans /Trans 0,19 | Saturés/ Saturated 1,159 | 11% | 밀가루버터(우유,식염),설탕,계란,정제소금,카라멜, 효모 | Lipides / Fat 1,75 g | Calories/ Calories 37,5 | % Dally Value | Amount | %valeur quotidienne | 2 | Teneur | Per 1 cookie (8 g) | pour 1 galette (8 g) | Nutrition Facts | Valeur nutritive"
images\001467.jpg,31,8,,,S이국 | 48##01 | 간을다 | 보이자에이이 |  | 보이차의 제조공정 | 보이차 | 깊고 부드러움을 담다 | R21 | 2 | 18#29 | 43 | 이피토일 조 | Unlabel | 0 | 7개대원 | 5 | 90T | 3 | to |  |  | 2시니C | 마생을발요시킨주 | 비비기를반복하고 | WR | 성정을등이 | 재한 | 분 | 발효숙성 및 건조 | 용성
images\002390.jpg,12,12,,,http://www.lotteconf.co.kr | 수신지요금부담 | 하은축'1 | 롯데제과 | 080-024-6060 | 까지 | 클밀국1·모금:1토 | 고객지원센터 | UTAIE | 8801062521272 | 게이트 | 러운새로운와플
images\000895.jpg,4,4,2021-06-02,,피크닉청포도 | 까지 | 2021.06.02 | 23:45
images\002068.jpg,39,7,,,"Lotto:00119313 | 20:22L12/1F | Exp:091122 | 500 ge 1.1 1b | PESO LIQUIDO | Kochait /Tamoo de coccim/Temgo de corimento | oy /Ptes almentares de semo | /Bist fore: | ma tot I Bedst fer: | Mindestens | preference avant le:/) | mte entro it/Best befo | RASTC | ILASICA | sofa/Petos | A4G | soja | Pasta av durul | SACCMETTO | Kooldid:/Kogntid./desd:10-11in | harde tarwe-kan bevatien | conter soja | Deegware | Temgo di cotun:/coolking time/Temps de cuissonc | pja /Massa de semola de tn |  | semola de trigo duroP | ten/Pasta alimentica de cal | LALT | waren aus Hartweizengrel | IETUA | pualite supereure-peut conte | STP-CE-PC-AGRO 38 | K. OI REG,S-P-8R282 | DI PRO0OTTD | /Durum wheat semolina pasta | DICHARAZIONE AMBENIALE | DNV·GL | f semola di grano doro-pud con"
images\000571.jpg,12,12,,, | 릴요건 |  | P R O B I O T I C | 바이오 | Maeil | NO.1 | 세계 | 가장많이 연구 | 까지 F5.L2 | 10.18 11:24 | 10ml당100원/130
images\001155.jpg,23,12,,,"21-09-2021/18L0265 |  | L트를 50mg 3% | 午量50g15% | H서늘한 곳에 진열, | Chocolaterie Guylian N.V. |  | 2225 |  | o | 유통기한 후면표 | 준초콜릿 125 g(690 kcal)헤이즐넷 |  | hris. | 20 |  | r | BSYB | hy |  | 6E6 871 | Mn | "
images\000573.jpg,20,19,,,연출된 예 | (0~10°c) | gx4 | %.2% | 냉장보관 | 개입 | 유산균 | 프로바이오틱스 | 320 g (288 kcal/80 gX4컵) | 8억마리 | 영 | Peach Yogurt | 복숭아 | 좋은 | 떠먹는 요거트 | 오늘 | 오늘 하루 요거트 한스푼 | 수반 | 1.2A | GOOD TODAY
images\003096.jpg,11,8,2022-10-12,, | 게절법일 | 함지식 | (조방메밀 | 까지 | oH  | 2022.10.12 | oBrand
images\000389.jpg,31,10,2026-02-27,,"금토일2개구매시1,000원할인 | 48  |  |  | 영양정보 | 쌀약과 | 기 | *K | ㅎ농협식품 | 2026.02.27"
images\002533.jpg,10,5,2022-06-30,,2022.06.30 |  | N13 | 추장 | 가득
images\003275.jpg,18,10,,,"Singletons Dairy Ltd. Longridge, Lail | 7200 | 판 매 가 | 200g e | 311-130 028331 0004 | 10.10.21 | BEST BEFORE | LOTTE | Product of England. | COLOURED CHEDDAR | KEEP REFRIGERATED.BEST EA). | EC | 2091 | PG141020 | Suitable for Vegetarians. | Allergy Advice: Contains Cow's Mik. | annatto (E16ob),microbial rennet, starter cultures. | Ingredients:Pasteurised cows milk, salt,"
images\001027.jpg,8,8,2020-09-08,,몬드 브리즈 | Breeze | LLnOra | 언스위트(무당) | 새로운앱 | 까지 | 2020. 09. 08 | 12:08
images\002182.jpg,22,21,2019-02-20,,":pp | :LDPE | 까지 | OTHER | 13:24 | 2019.02.20 | 818010451176338 | 080024231 | 1 원은대분 | 콜레스테롤10mg3%단백질1g2% | 不19g35%三0g不46g3% | 나트650mg33수화물278이당류2 | 2린지식이섬유 | 100g당 285kcal | 영양정보 | 총 내용량 265g | (쓰시지살러드) | 원로영/정재수,식물성유지외국생아르헨티나미국 | 2001044505534 | 닭가슴살샐러드, 소시지,각종 튀김요리에잘어울립니다 | 허니머스타드"
images\002889.jpg,16,10,2021-07-15,,(주)하림 | E |  |  | 키위드레싱 | Cham | 2021.07.15 A | 4.500 | 4.500 | 5800
images\003319.jpg,4,4,,,녹차크림쿠키 | GREEN TEA CREAM COOKIE | Franzzi | EXP:202140.20
images\002466.jpg,43,21,2022-01-20,,"ㅇ규동 | '덮밥소 | 세계 | 토마토소고기 | 아이배넷꼬마 | 리조또소스 | 키요 |  | 9,900 | 생유산균 | 아이앨넷 | 아이배넷 | 2022.01.20 | 소금 | 프로바이오틱스 | 프로바이오틱스 | 음소금 | 유산균 | 유산균 | 아이배넷 | 아이배넷"
images\000602.jpg,6,6,2025-09-23 2026-09-22,,맛있는 약속 | 2026.09.22 | 까지 | 부터 | 2025.09.23A | CROWN
images\001271.jpg,11,9,2023-07-08,,"EXP:2023/07/08 | LOT:007091 | 관방법 직사광선을 받지 않는 서늘한 곳에 보 | 량및섭취방법1일1회1캡슐씩물과 함 | 의 수치는1일영양성분기준치에 대한비을 | Omg(O%),기능성분 EPA+DHA:70m | 화물 0g(0%), 단백질0g(0%), 지방 2 | 회분량 1,000mg(1캡술)함량:열랑 | 세린,정제수※고등어,돼지고기함 영당 "
images\000405.jpg,36,16,2027-10-15,,"080024-2311） | 십시오 | 제조원 | 충북 음성군 대소면 대풍산단로 128 | 포장재질 품 | $줄싱횟삭 올뛴길 | 코아분말 | 쇠고기,닭고기,밀,토마토,우유 대두조개류(굴) 함유 | 료명달 | 유형 | Kitchen | 2. 물을 약하게한이스스스를 조금씩 넣어충분히풀어습니다. | OTTYGI HASH | 하이라이스스스 | L5: 39 3F 1만 | 2027.10.15#"
images\002990.jpg,14,11,2021-03-20,,"2021.03.20지 | 두반장5.4%,죽순채 2%표고버섯채 2%,굴소스1.17% | 석조리식품250g/두부44%,돈육채볶음 10%돼지고기 8.04%) | 유통기한 | 21E | 이미지예 |  | :아색하고은은한의 죽순 | 굴소스로볶은 중화풍두부안주 | 고소한두부와돼지고기,표고버섯,죽순을두반장과 | 마파두부"
images\000303.jpg,52,38,2020-07-31,,"냉동보관 | 소비자중심 | 8801052130583 | 18C이하 | 9% | 3% | 80019-9119） | 12 % | o고객상담실 | 13 % | 까지 |  | 1% | 20.07.31 | 2% | 소비기한: | 72 % | 한비율 | 영양성분 | OTHER | 139 | O DAESANG | kcal. | 비닐류 | 100 | -84 | 냉동보관 | 반품 및 교환장소 고객상 | 남실 및 구입 | 가지 | 소(고기,조개류(굴,바지락)함유 | 간이달라질수있으니 | 남해안산 미역 | 더 끓여주면 맛있는 | 부드러운 | 풀어주세요 | 양지고기 | 과물450m를"
images\002802.jpg,23,21,2021-09-29,,320.9(1.4B7 kcal) | )6.6% | 포장재질 | 8기- | 설가루국내산) | 프시즈님16 % | 탄산답.d- | 끝 | 목 | 유통기한 제품별도프기울 | 서울별시 강서구회 | 유통전문판매원 용플러스츠 | Boll | 쌀가루 | 바이오별리 2로 41 3동3 | 국냉산 | 제조원지디앤와이/충방E | 식품의유형 24 | 8 3200160 | 제품명 콘스트 | 2021.09.29
images\001353.jpg,11,6,2022-06-27,,PRODOTTA IN ITALIA | 8809394830895 | 유통기한:2022-06-27 | AL BRONZO | MisURA | FUSIL
images\001934.jpg,29,16,2022-03-29,,다수있습n | 3g 5% | _단질 | 12g 80% | 45ke59. | 방0g |  122% | 19g 35% | 영정보m6% | 2022.03.29 |  | 방동입가능 |  니다 | Acai& Blueberry Flavors | HERSHEY'S | DARK
images\002293.jpg,5,4,2021-07-03,,"2021.07.03까지 | OAST | W1,000 | GARLIG"
images\000413.jpg,9,7,2027-04-23,,"100 g당 467 kcal | (1,401 kcal). | 300g | 정국장가르 | 우유에타서먹는 | 2027.04.23 | 칠갑농산"
images\001450.jpg,31,13,2022-04-26,,8806102877746 | 2022.04.26 F |  | 20313 | 제조 | ※ | 쪽및시통 | 있 | 콜레스테롤0mg 0% | 단백질0g 0% | 1포(2 g)당8kcal | 영양정보 | 총 내용량 80g(2g × 40포)
images\001779.jpg,8,8,2021-04-09,,까지 | 21.04.09 19:02 | http://www.lotteconl.co.kr | 수신URVS | 롯데제과 | 080-024-6060 |  고객지원센터 | 
