image_id,gold,P0_ko_first,P1_ch_first,P2_more_digits,P3_ch_if_disagree_year
000001,2027-06-26,2027-06-26,2027-06-26,2027-06-26,2027-06-26
000002,2025-12-11,2025-12-11,2025-12-11,2025-12-11,2025-12-11
000003,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12
000004,2022-02-14,NONE,NONE,NONE,NONE
000005,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02
000006,2026-02-17,2026-02-17,2026-02-17,2026-02-17,2026-02-17
000007,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25
000008,2027-06-29,NONE,NONE,NONE,NONE
000009,2026-10-29,2026-10-29,2026-10-29,2026-10-29,2026-10-29
000010,2026-06-08,NONE,NONE,NONE,NONE
000011,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2026-02-05
000012,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23
000013,2026-03-20,2026-03-20,2026-03-20,2026-03-20,2026-03-20
000014,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31
000015,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01
000016,2026-01-22,2026-01-22,2026-01-22,2026-01-22,2026-01-22
000017,2026-11-25,2026-11-25,2026-11-25,2026-11-25,2026-11-25
000018,2026-04-24,2025-04-02,2025-04-02,2025-04-02,2025-04-02
000019,2026-04-09,2026-04-09,2026-04-09,2026-04-09,2026-04-09
000020,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2025-10-09
000021,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10
000022,2025-10-14,2025-10-14,2025-10-14,2025-10-14,2025-10-14
000023,2025-10-11,2025-10-10,2025-10-10,2025-10-10,2025-10-10
000024,NONE-NONE-NONE,NONE,NONE,NONE,NONE
000025,2026-06-11,2026-06-11,2026-06-11,2026-06-11,2026-06-11
000026,2025-11-13,2025-11-13,2025-11-13,2025-11-13,2025-11-13
000027,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2026-04-27
000028,2026-02-10,2025-03-31,2025-03-31,2025-03-31,2025-03-31
000029,2026-08-02,2026-08-02,2026-08-02,2026-08-02,2026-08-02
000030,2028-08-17,2028-08-17,2028-08-17,2028-08-17,2028-08-17
000031,2026-02-14,2026-02-14,2026-02-14,2026-02-14,2026-02-14
000032,2026-03-22,NONE,NONE,NONE,NONE
000033,2026-06-17,2026-06-17,2026-06-17,2026-06-17,2026-06-17
000034,2026-06-30,NONE,NONE,NONE,NONE
000035,2026-08-17,NONE,NONE,NONE,NONE
000036,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-26
000037,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17
000038,2027-02-12,2027-02-12,2027-02-12,2027-02-12,2027-02-12
000039,2026-05-26,NONE,NONE,NONE,NONE
000040,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2025-10-11
000041,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2025-10-11
000042,2025-10-12,2025-10-12,2025-10-12,2025-10-12,2025-10-12
000043,NONE-10-14,NONE-10-14,NONE-10-14,NONE-10-14,NONE-10-14
000044,2026-02-07,2026-02-07,2026-02-07,2026-02-07,2026-02-07
000045,2027-04-21,2027-04-21,2027-04-21,2027-04-21,2027-04-21
000046,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10
000047,2027-04-14,2027-04-14,2027-04-14,2027-04-14,2027-04-14
000048,2026-06-12,2026-06-12,2026-06-12,2026-06-12,2026-06-12
000049,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01
000050,2025-09-30,2025-09-30,2025-09-30,2025-09-30,2025-09-30
000051,2026-01-12,NONE,NONE,NONE,NONE
000052,2025-11-19,2025-11-19,2025-11-19,2025-11-19,2025-11-19
000053,2025-12-20,2025-12-20,2025-12-20,2025-12-20,2025-12-20
000054,2025-10-08,2040-02-16,2025-10-08,2025-10-08,2025-10-08
000055,2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-04
000056,2026-07-11,2026-07-11,2026-07-11,2026-07-11,2026-07-11
000057,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24
000058,2027-03-27,2027-03-27,2027-03-27,2027-03-27,2027-03-27
000059,2027-06-22,2027-06-22,2027-06-22,2027-06-22,2027-06-22
000060,2026-04-30,2026-04-13,2026-04-30,2026-04-13,2026-04-30
000061,2026-06-04,NONE,NONE,NONE,NONE
000062,2026-05-26,2026-05-26,2026-05-26,2026-05-26,2026-05-26
000063,2026-06-16,2026-06-16,2026-06-16,2026-06-16,2026-06-16
000064,2026-08-03,2026-08-03,2026-08-03,2026-08-03,2026-08-03
000065,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2026-01-12
000066,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17
000067,2025-12-19,2025-12-19,2025-12-19,2025-12-19,2025-12-19
000068,2026-06-17,2026-06-17,2026-06-17,2026-06-17,2026-06-17
000069,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24
000070,2026-10-08,2026-10-08,2026-10-08,2026-10-08,2026-10-08
000071,2027-07-20,2027-07-20,2027-07-20,2027-07-20,2027-07-20
000072,2026-04-25,2026-04-25,2026-04-25,2026-04-25,2026-04-25
000073,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12
000074,2026-08-28,2026-08-28,2026-08-28,2026-08-28,2026-08-28
000075,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06
000076,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17
000077,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07
000078,2026-06-19,2025-06-19,2025-06-19,2025-06-19,2025-06-19
000079,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31
000080,2026-09-16,NONE,NONE,NONE,NONE
000081,2026-05-18,2026-05-18,2026-05-18,2026-05-18,2026-05-18
000082,2026-08-24,2026-08-24,2026-08-24,2026-08-24,2026-08-24
000083,2026-07-01,NONE,NONE,NONE,NONE
000084,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31
000085,2026-03-30,2026-03-30,2026-03-30,2026-03-30,2026-03-30
000086,2026-03-14,2026-03-14,2026-03-14,2026-03-14,2026-03-14
000087,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10
000088,2026-09-03,2025-09-04,2025-09-04,2025-09-04,2025-09-04
000089,2026-09-11,2026-09-11,2026-09-11,2026-09-11,2026-09-11
000090,2026-09-01,NONE,NONE,NONE,NONE
000091,2027-05-22,2027-05-22,2027-05-22,2027-05-22,2027-05-22
000092,2026-12-05,2026-12-05,2026-12-05,2026-12-05,2026-12-05
000093,2026-04-23,NONE,NONE,NONE,NONE
000094,2027-06-30,2027-06-30,2027-06-30,2027-06-30,2027-06-30
000095,2026-07-29,2026-07-29,2026-07-29,2026-07-29,2026-07-29
000096,2026-05-26,2026-05-26,2026-05-26,2026-05-26,2026-05-26
000097,2025-11-19,2025-11-19,2025-11-19,2025-11-19,2025-11-19
000098,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11
000099,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07
000100,2026-02-11,2026-02-11,2026-02-11,2026-02-11,2026-02-11
000101,2026-04-08,2026-04-08,2026-04-08,2026-04-08,2026-04-08
000102,2025-11-13,2025-11-13,2025-11-13,2025-11-13,2025-11-13
000103,2025-12-18,NONE,NONE,NONE,NONE
000104,2026-04-01,2026-04-01,2026-04-01,2026-04-01,2026-04-01
000105,2025-11-09,2025-11-09,2025-11-09,2025-11-09,2025-11-09
000106,NONE-NONE-NONE,NONE,NONE,NONE,NONE
000107,2025-12-25,2025-12-25,2025-12-25,2025-12-25,2025-12-25
000108,2025-10-24,2025-10-24,2025-10-24,2025-10-24,2025-10-24
000109,2025-12-12,2025-12-12,2025-12-12,2025-12-12,2025-12-12
000110,2025-10-29,2025-10-29,2025-10-29,2025-10-29,2025-10-29
000111,2025-10-25,2025-10-05,2025-10-05,2025-10-05,2025-10-05
000112,2025-10-17,2025-10-17,2025-10-17,2025-10-17,2025-10-17
000113,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16
000114,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28
000115,2025-12-08,2025-12-08,2025-12-08,2025-12-08,2025-12-08
000116,2026-03-27,2026-03-27,2026-03-27,2026-03-27,2026-03-27
000117,2025-11-28,2025-11-28,2025-11-28,2025-11-28,2025-11-28
000118,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23
000119,2026-08-24,2026-08-24,2026-08-24,2026-08-24,2026-08-24
000120,2026-08-25,NONE,NONE,NONE,NONE
000121,2027-04-13,2027-04-13,2027-04-13,2027-04-13,2027-04-13
000122,2027-04-28,NONE,NONE,NONE,NONE
000123,2026-06-04,2026-06-04,2026-06-04,2026-06-04,2026-06-04
000124,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02
